imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,12.28464090000034,None,12.28464090000034,None,12.28464090000034,None,12.28464090000034,None,12.28464090000034,None,1,3.781136399999923,12.28464090000034,None,,,,,,,,,,,,,,,,,,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
,,,,0,0,0,0,,,,,,,,,,,,,,,27.224340000000666,37.22868180000023,38.14575520000017,38.66261639999993,0,imgs/2_stim.png,0.0406107344279776,0.5023116086123952,0.21752580665516236,38.84603520000019,38.879357300000265,38.912734999999884,38.94610300000022,q,1.7543980999998894,38.329141100000015,None,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,40.12993110000025,41.08033109999997,1,imgs/1_stim.png,0.01425772225188646,0.9402481275521416,0.347891884749396,41.39712000000054,41.43048010000075,41.43048010000075,41.463847900000474,a,1.8275371999998242,40.31330359999993,None,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,42.1808372000005,42.73099210000055,2,imgs/2_stim.png,0.03032945013921405,0.5399561637120964,0.2731640190998609,42.98115380000036,43.014468000000306,43.0311341000006,43.06452830000035,q,1.1713227000000188,42.36423100000047,None,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,43.58149300000059,44.56515600000057,3,imgs/4_stim.png,0.06793734649949389,0.9831263179262242,0.1196552877449466,44.66522930000065,44.69860100000005,44.74857840000004,44.78191160000006,e,1.8576783999997133,43.7648736000001,None,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,45.665666100000635,46.2491957000002,4,imgs/3_stim.png,0.0986401410316599,0.5807389567134453,0.05321290633565279,46.28265420000025,46.31591370000024,46.39928250000048,46.432633800000076,d,1.2015246999999363,45.849049400000695,None,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,47.0829332000003,47.74985379999998,5,imgs/3_stim.png,0.03277638788043972,0.6664242743966139,0.31242437231237413,48.04999300000054,48.08333990000028,48.10003300000062,48.13336380000055,q,1.6754710999994131,47.266285900000184,None,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,48.98375660000056,49.71733589999985,6,imgs/3_stim.png,0.040995652539277706,0.7253787000227436,0.23316844635802952,49.91749979999986,49.95077310000033,49.98414760000014,50.017491900000095,a,1.392618599999878,49.16714750000028,None,,001,2023_Apr_30_2117,meta-mask2,2021.2.3,59.99743211010588,
