trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,24.564844799999264,None,equal,1.7979859999904875,24.564844799999264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
,,,,,,,,,,26.380219200000283,None,28.29772210000374,None,28.5645027999999,None,29.064736500004074,None,29.348091000007116,None,equal,2.170252600000822,30.331883400009247,None,,,,,,,,,,,,,,,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,q,1.7629832999955397,33.24990199999593,None,33.06699010000739,34.06683310000517,34.05016890000843,34.08360240000184,34.150249400001485,34.183572599999025,0,imgs/1_1.png,imgs/1_2.png,0.06398439442076842,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,a,1.5717157999897609,35.350851299997885,None,35.16736550000496,36.167720700002974,36.15105899999617,36.18444690000615,36.21786070000962,36.25115189999633,1,imgs/4_1.png,imgs/4_2.png,0.03125158585767093,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,d,1.4550957000028575,37.635106900008395,None,37.45189559999562,38.4520152000041,38.43534759999602,38.46874209999805,38.61883160000434,38.65213440000662,2,imgs/3_1.png,imgs/3_2.png,0.16377714417536354,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,e,2.0132003000035184,39.8526128000085,None,39.66956370000844,40.669685700006085,40.65297209999699,40.68632000000798,40.8196953000006,40.85308030000306,3,imgs/2_1.png,imgs/2_2.png,0.14302464562064549,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,e,2.6777323000133038,42.1869691000029,None,42.00352690000727,43.00402030000987,42.98731820000103,43.02066080000077,43.17079679999733,43.20411829999648,4,imgs/2_1.png,imgs/2_2.png,0.14987811436647697,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,a,1.478189299989026,45.20488410000689,None,45.0217510000075,46.02196569999796,46.00523650000105,46.038750799998525,46.188755299997865,46.22206329999608,5,imgs/4_1.png,imgs/4_2.png,0.16272393527373455,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,q,1.4576361999934306,47.02237030000833,None,46.8235110000096,47.822717400005786,47.80611820000922,47.83937280000828,47.95614710000518,47.98948180000298,6,imgs/1_1.png,imgs/1_2.png,0.1080156818415178,1,2023_Apr_12_1649,meta-mask,2021.2.3,59.94865997098277,
