trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_3.started,image_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,9.987759600000572,None,equal,2.3897174000012456,9.987759600000572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
,,,,,,,,,,12.397853999995277,None,q,1.0047845999943092,12.397853999995277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
,,,,,,,,,,,,,,,,13.43165109999245,None,e,0.4532091000000946,13.43165109999245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
,,,,,,,,,,,,,,,,,,,,,,13.915185799996834,None,d,0.6859096000116551,13.915185799996834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.632139299996197,None,a,0.4963324999989709,14.632139299996197,None,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.149003599988646,None,equal,3.3554504999920027,16.13276509998832,None,,,,,,,,,,,,,,,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.7395263999933377,20.267887800000608,None,20.084783799989964,21.085118899994995,21.068256999991718,21.101553499989677,21.168236899990006,21.201556399988476,0,imgs/1_1.png,imgs/1_2.png,0.06398439442076842,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.776214199999231,22.33542899999884,None,22.152025299990783,23.15249059999769,23.1357766000001,23.169160899997223,23.202465800000937,23.235803799994756,1,imgs/4_1.png,imgs/4_2.png,0.03125158585767093,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.5547498999949312,24.819848200000706,None,24.620072599995183,25.620176299999002,25.620176299999002,25.653515099998913,25.803579100000206,25.83706949999032,2,imgs/3_1.png,imgs/3_2.png,0.16377714417536354,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.1177525999955833,27.13750599999912,None,26.937659799994435,27.937880799989216,27.937880799989216,27.9711937999964,28.104577599995537,28.137928299998748,3,imgs/2_1.png,imgs/2_2.png,0.14302464562064549,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
