1.9271 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
22.1839 	EXP 	circle: autoDraw = False
22.1839 	EXP 	mask: autoDraw = False
22.1839 	EXP 	circle: autoDraw = True
22.2047 	EXP 	circle: autoDraw = False
22.2742 	EXP 	mask: autoDraw = True
22.2950 	EXP 	mask: autoDraw = False
22.8825 	DATA 	Keypress: 1
22.8904 	EXP 	New trial (rep=10, index=0): None
22.8992 	EXP 	circle: autoDraw = False
22.8992 	EXP 	mask: autoDraw = False
22.8992 	EXP 	circle: autoDraw = True
22.9200 	EXP 	circle: autoDraw = False
22.9895 	EXP 	mask: autoDraw = True
23.0103 	EXP 	mask: autoDraw = False
23.4314 	EXP 	New trial (rep=11, index=0): None
23.4341 	DATA 	Keypress: 2
23.4408 	EXP 	circle: autoDraw = False
23.4408 	EXP 	mask: autoDraw = False
23.4408 	EXP 	circle: autoDraw = True
23.4617 	EXP 	circle: autoDraw = False
23.5311 	EXP 	mask: autoDraw = True
23.5520 	EXP 	mask: autoDraw = False
23.9045 	EXP 	New trial (rep=12, index=0): None
23.9075 	DATA 	Keypress: 1
23.9131 	EXP 	circle: autoDraw = False
23.9131 	EXP 	mask: autoDraw = False
23.9131 	EXP 	circle: autoDraw = True
23.9339 	EXP 	circle: autoDraw = False
24.0034 	EXP 	mask: autoDraw = True
24.0242 	EXP 	mask: autoDraw = False
24.4736 	EXP 	New trial (rep=13, index=0): None
24.4763 	DATA 	Keypress: 2
24.4825 	EXP 	circle: autoDraw = False
24.4825 	EXP 	mask: autoDraw = False
24.4825 	EXP 	circle: autoDraw = True
24.5034 	EXP 	circle: autoDraw = False
24.5728 	EXP 	mask: autoDraw = True
24.5936 	EXP 	mask: autoDraw = False
24.9966 	EXP 	New trial (rep=14, index=0): None
24.9993 	DATA 	Keypress: 1
25.0049 	EXP 	circle: autoDraw = False
25.0049 	EXP 	mask: autoDraw = False
25.0049 	EXP 	circle: autoDraw = True
25.0270 	EXP 	circle: autoDraw = False
25.1006 	EXP 	mask: autoDraw = True
25.1214 	EXP 	mask: autoDraw = False
25.5768 	DATA 	Keypress: 2
25.5844 	EXP 	New trial (rep=15, index=0): None
25.5937 	EXP 	circle: autoDraw = False
25.5937 	EXP 	mask: autoDraw = False
25.5937 	EXP 	circle: autoDraw = True
25.6145 	EXP 	circle: autoDraw = False
25.6839 	EXP 	mask: autoDraw = True
25.7047 	EXP 	mask: autoDraw = False
26.1255 	DATA 	Keypress: 1
26.1334 	EXP 	New trial (rep=16, index=0): None
26.1422 	EXP 	circle: autoDraw = False
26.1422 	EXP 	mask: autoDraw = False
26.1422 	EXP 	circle: autoDraw = True
26.1631 	EXP 	circle: autoDraw = False
26.2326 	EXP 	mask: autoDraw = True
26.2534 	EXP 	mask: autoDraw = False
26.9037 	EXP 	New trial (rep=17, index=0): None
26.9066 	DATA 	Keypress: 2
26.9131 	EXP 	circle: autoDraw = False
26.9131 	EXP 	mask: autoDraw = False
26.9131 	EXP 	circle: autoDraw = True
26.9340 	EXP 	circle: autoDraw = False
27.0034 	EXP 	mask: autoDraw = True
27.0242 	EXP 	mask: autoDraw = False
27.7096 	EXP 	New trial (rep=18, index=0): None
27.7122 	DATA 	Keypress: 1
27.7186 	EXP 	circle: autoDraw = False
27.7186 	EXP 	mask: autoDraw = False
27.7186 	EXP 	circle: autoDraw = True
27.7395 	EXP 	circle: autoDraw = False
27.8089 	EXP 	mask: autoDraw = True
27.8298 	EXP 	mask: autoDraw = False
28.3070 	EXP 	New trial (rep=19, index=0): None
28.3096 	DATA 	Keypress: 2
28.3159 	EXP 	circle: autoDraw = False
28.3159 	EXP 	mask: autoDraw = False
28.3159 	EXP 	circle: autoDraw = True
28.3367 	EXP 	circle: autoDraw = False
28.4062 	EXP 	mask: autoDraw = True
28.4270 	EXP 	mask: autoDraw = False
28.8206 	EXP 	New trial (rep=20, index=0): None
28.8233 	DATA 	Keypress: 1
28.8298 	EXP 	circle: autoDraw = False
28.8298 	EXP 	mask: autoDraw = False
28.8298 	EXP 	circle: autoDraw = True
28.8506 	EXP 	circle: autoDraw = False
28.9200 	EXP 	mask: autoDraw = True
28.9409 	EXP 	mask: autoDraw = False
29.3835 	EXP 	New trial (rep=21, index=0): None
29.3861 	DATA 	Keypress: 2
29.3923 	EXP 	circle: autoDraw = False
29.3923 	EXP 	mask: autoDraw = False
29.3923 	EXP 	circle: autoDraw = True
29.4132 	EXP 	circle: autoDraw = False
29.4826 	EXP 	mask: autoDraw = True
29.5034 	EXP 	mask: autoDraw = False
29.9464 	DATA 	Keypress: 2
29.9531 	EXP 	New trial (rep=22, index=0): None
29.9617 	EXP 	circle: autoDraw = False
29.9617 	EXP 	mask: autoDraw = False
29.9617 	EXP 	circle: autoDraw = True
29.9826 	EXP 	circle: autoDraw = False
30.0520 	EXP 	mask: autoDraw = True
30.0728 	EXP 	mask: autoDraw = False
30.4866 	DATA 	Keypress: 2
30.4941 	EXP 	New trial (rep=23, index=0): None
30.5034 	EXP 	circle: autoDraw = False
30.5034 	EXP 	mask: autoDraw = False
30.5034 	EXP 	circle: autoDraw = True
30.5242 	EXP 	circle: autoDraw = False
30.5937 	EXP 	mask: autoDraw = True
30.6145 	EXP 	mask: autoDraw = False
31.0213 	DATA 	Keypress: 1
31.0294 	EXP 	New trial (rep=24, index=0): None
31.0381 	EXP 	circle: autoDraw = False
31.0381 	EXP 	mask: autoDraw = False
31.0381 	EXP 	circle: autoDraw = True
31.0589 	EXP 	circle: autoDraw = False
31.1284 	EXP 	mask: autoDraw = True
31.1493 	EXP 	mask: autoDraw = False
31.5714 	EXP 	New trial (rep=25, index=0): None
31.5749 	DATA 	Keypress: 2
31.5798 	EXP 	circle: autoDraw = False
31.5798 	EXP 	mask: autoDraw = False
31.5798 	EXP 	circle: autoDraw = True
31.6006 	EXP 	circle: autoDraw = False
31.6701 	EXP 	mask: autoDraw = True
31.6909 	EXP 	mask: autoDraw = False
32.1267 	EXP 	New trial (rep=26, index=0): None
32.1294 	DATA 	Keypress: 2
32.1354 	EXP 	circle: autoDraw = False
32.1354 	EXP 	mask: autoDraw = False
32.1354 	EXP 	circle: autoDraw = True
32.1562 	EXP 	circle: autoDraw = False
32.2257 	EXP 	mask: autoDraw = True
32.2466 	EXP 	mask: autoDraw = False
32.6398 	DATA 	Keypress: 2
32.6467 	EXP 	New trial (rep=27, index=0): None
32.6562 	EXP 	circle: autoDraw = False
32.6562 	EXP 	mask: autoDraw = False
32.6562 	EXP 	circle: autoDraw = True
32.6770 	EXP 	circle: autoDraw = False
32.7465 	EXP 	mask: autoDraw = True
32.7673 	EXP 	mask: autoDraw = False
33.1608 	EXP 	New trial (rep=28, index=0): None
33.1635 	DATA 	Keypress: 1
33.1701 	EXP 	circle: autoDraw = False
33.1701 	EXP 	mask: autoDraw = False
33.1701 	EXP 	circle: autoDraw = True
33.1909 	EXP 	circle: autoDraw = False
33.2604 	EXP 	mask: autoDraw = True
33.2812 	EXP 	mask: autoDraw = False
33.7378 	EXP 	New trial (rep=29, index=0): None
33.7405 	DATA 	Keypress: 2
33.7465 	EXP 	circle: autoDraw = False
33.7465 	EXP 	mask: autoDraw = False
33.7465 	EXP 	circle: autoDraw = True
33.7673 	EXP 	circle: autoDraw = False
33.8368 	EXP 	mask: autoDraw = True
33.8576 	EXP 	mask: autoDraw = False
34.2790 	EXP 	New trial (rep=30, index=0): None
34.2818 	DATA 	Keypress: 1
34.2881 	EXP 	circle: autoDraw = False
34.2881 	EXP 	mask: autoDraw = False
34.2881 	EXP 	circle: autoDraw = True
34.3090 	EXP 	circle: autoDraw = False
34.3784 	EXP 	mask: autoDraw = True
34.3993 	EXP 	mask: autoDraw = False
34.8270 	DATA 	Keypress: 2
34.8349 	EXP 	New trial (rep=31, index=0): None
34.8437 	EXP 	circle: autoDraw = False
34.8437 	EXP 	mask: autoDraw = False
34.8437 	EXP 	circle: autoDraw = True
34.8646 	EXP 	circle: autoDraw = False
34.9340 	EXP 	mask: autoDraw = True
34.9548 	EXP 	mask: autoDraw = False
35.3629 	EXP 	New trial (rep=32, index=0): None
35.3656 	DATA 	Keypress: 1
35.3715 	EXP 	circle: autoDraw = False
35.3715 	EXP 	mask: autoDraw = False
35.3715 	EXP 	circle: autoDraw = True
35.3923 	EXP 	circle: autoDraw = False
35.4618 	EXP 	mask: autoDraw = True
35.4826 	EXP 	mask: autoDraw = False
35.9176 	DATA 	Keypress: 2
35.9249 	EXP 	New trial (rep=33, index=0): None
35.9340 	EXP 	circle: autoDraw = False
35.9340 	EXP 	mask: autoDraw = False
35.9340 	EXP 	circle: autoDraw = True
35.9548 	EXP 	circle: autoDraw = False
36.0243 	EXP 	mask: autoDraw = True
