text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11.33815379999578,None,equal,3.320308100002876,12.218176999995194,None,,,,,,,,,1,001,2023_Apr_12_1535,meta-mask,2021.2.3,143.88220076373918,
,,,,,,a,9.768544899998233,15.739003299997421,None,,,,,1,001,2023_Apr_12_1535,meta-mask,2021.2.3,143.88220076373918,
,,,,,,a,2.3221989999947255,25.71130919999996,None,15.551589299997431,16.551534499994887,16.544581900001504,None,1,001,2023_Apr_12_1535,meta-mask,2021.2.3,143.88220076373918,
,,,,,,a,1.9242914999995264,28.239143099999637,None,25.523855299994466,26.52384929999971,26.516916599997785,None,1,001,2023_Apr_12_1535,meta-mask,2021.2.3,143.88220076373918,
,,,,,,a,3.864983499996015,30.36412449999625,None,28.051676099996257,29.051699499999813,29.044664799999737,None,1,001,2023_Apr_12_1535,meta-mask,2021.2.3,143.88220076373918,
,,,,,,,,,,30.176698700000998,31.176650900000823,31.162739299994428,None,,,,,,,
