trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,36.295511199999964,None,equal,0.6930130000000645,36.295511199999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
,,,,,,,,,,37.004269699999895,None,38.47155329999987,None,38.805046200000106,None,39.45537779999995,None,39.98886729999958,None,equal,6.449536999999509,39.98886729999958,None,,,,,,,,,,,,,,,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,q,2.0067564999999377,47.15873680000004,None,46.975752100000136,47.97559410000031,47.95897439999953,47.99233639999966,48.075710099999924,48.1090893999999,0,imgs/1_1.png,imgs/1_2.png,0.07252319300244434,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,d,1.5027620999999272,49.85978179999984,None,49.676738600000135,50.676776999999674,50.66014939999968,50.69342950000009,50.793470999999954,50.826872300000105,1,imgs/3_1.png,imgs/3_2.png,0.09731825395339255,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,d,1.53249599999981,52.76096899999993,None,52.58592799999951,53.59468610000022,53.56136880000031,53.59468610000022,53.72806489999948,53.76143339999999,2,imgs/2_1.png,imgs/2_2.png,0.1362492978245822,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,e,2.2565726999991966,54.6117905000001,None,54.42838219999976,55.428815600000235,55.412159800000154,55.44547229999989,55.62975809999989,55.66219019999971,3,imgs/2_1.png,imgs/2_2.png,0.18606982329747426,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,e,1.705010100000436,57.19641469999988,None,57.01281199999994,58.01325170000018,57.99660899999981,58.029924200000096,58.21336450000035,58.24672680000003,4,imgs/2_1.png,imgs/2_2.png,0.18609821852144073,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,d,1.4903174999999464,59.5972112999998,None,59.414226699999745,60.41430459999992,60.39765660000012,60.43099489999986,60.46430799999962,60.49764479999976,5,imgs/3_1.png,imgs/3_2.png,0.04138688066335189,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,q,1.4999971999995978,61.8316034999998,None,61.64855350000016,62.64965099999972,62.633355400000255,62.66530580000017,62.748996799999986,62.783303199999864,6,imgs/1_1.png,imgs/1_2.png,0.082307318873549,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,q,1.6186993999999686,63.649064299999736,None,63.46559079999952,64.46609530000023,64.44941589999962,64.48277659999985,64.53279070000008,64.56605159999981,7,imgs/1_1.png,imgs/1_2.png,0.047760214797935824,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,a,1.6154114000000845,65.58314919999975,None,65.40015640000001,66.40018039999995,66.38352620000023,66.41685570000027,66.46690690000014,66.50026419999995,8,imgs/4_1.png,imgs/4_2.png,0.04747778517855693,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,d,12.52393099999972,67.91784279999956,None,67.73563829999966,68.75119829999949,68.71785339999951,68.75119829999949,68.86795580000035,68.90131939999992,9,imgs/3_1.png,imgs/3_2.png,0.11364754365673725,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,a,1.6502793999998175,81.17317470000035,None,80.99012800000037,81.9902132999996,81.97351449999951,82.00687599999947,82.20696029999999,82.24032379999971,10,imgs/4_1.png,imgs/4_2.png,0.19117965997359748,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,d,1.312896099999307,83.50749059999998,None,83.30771619999996,84.30787099999998,84.30787099999998,84.3412116999998,84.42454780000025,84.45794949999981,11,imgs/3_1.png,imgs/3_2.png,0.09888823053709099,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,a,1.3735048999997161,85.57512010000028,None,85.39194270000007,86.39212669999961,86.37543610000012,86.4087872,86.54213900000013,86.57555630000024,12,imgs/4_1.png,imgs/4_2.png,0.13754923975623629,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,q,1.6704370999996172,87.25912349999999,None,87.09243179999976,88.09281660000033,88.05951410000034,88.09281660000033,88.20952430000034,88.24286149999989,13,imgs/1_1.png,imgs/1_2.png,0.10787726665159504,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,e,1.780543900000339,89.25995559999956,None,89.07656810000026,90.07704180000019,90.04369489999954,90.07704180000019,90.17703340000025,90.21040230000017,14,imgs/2_1.png,imgs/2_2.png,0.0987096048433876,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,q,1.6325932999998258,91.36085189999994,None,91.17777409999962,92.1779375999995,92.16130869999961,92.19459099999949,92.3113172000003,92.34465350000028,15,imgs/1_1.png,imgs/1_2.png,0.12750636293689166,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,a,1.48689209999975,93.31174929999997,None,93.12866109999959,94.12869609999962,94.1120635999996,94.14542429999983,94.21210040000005,94.24548109999978,16,imgs/4_1.png,imgs/4_2.png,0.08204685915405903,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,e,1.665120200000274,95.1291954999997,None,94.94620060000034,95.94616649999989,95.92951009999979,95.96284920000016,96.16297299999951,96.19625489999999,17,imgs/2_1.png,imgs/2_2.png,0.19491439903940333,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,q,1.595205700000406,97.18543039999986,None,96.98284460000013,97.99705699999959,97.96372520000023,97.99705699999959,98.09708429999955,98.13042849999965,18,imgs/1_1.png,imgs/1_2.png,0.10081298764966909,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,a,1.4899366999998165,99.0975341000003,None,98.91444010000032,99.91451320000033,99.89785529999972,99.93123170000035,100.0145891000002,100.04796819999956,19,imgs/4_1.png,imgs/4_2.png,0.08456468464479515,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,q,1.6355270000003657,100.91494570000032,None,100.7319510999996,101.73204350000015,101.71531409999989,101.74870759999976,101.93339219999962,101.9661243999999,20,imgs/1_1.png,imgs/1_2.png,0.1753100348831467,1,2023_Apr_12_1847,meta-mask,2021.2.3,59.95541715171951,
