imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,23.486952600000222,None,23.486952600000222,None,23.486952600000222,None,23.486952600000222,None,23.486952600000222,None,1,2.1509019000004628,23.486952600000222,None,,,,,,,,,,,,,,,,,,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,0,0,0,0,,,,,,,,,,,,,,,27.221925899999405,None,28.0722181000001,29.005992500000502,0,imgs/2_stim.png,0.075984627765531,0.9312415824938971,0.29126684496973954,29.272740200000044,29.30611610000051,29.3894607000002,29.422862299999906,q,1.5586960000000545,28.255670200000168,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,29.856318199999805,30.74005699999907,1,imgs/3_stim.png,0.10916262457276359,0.8826843702605816,0.100144604640448,30.823397599999225,30.856748599999264,30.956793800000014,30.990172699999675,d,1.2496650000011869,30.039778899999874,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,31.32362529999955,32.240744099999574,2,imgs/4_stim.png,0.03823088452317322,0.9044438942291715,0.3752034680929428,32.59086369999932,32.62416719999965,32.65759119999893,32.6909383000002,d,2.33037239999976,31.50706580000042,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,33.87475129999984,34.524984899999254,3,imgs/4_stim.png,0.09932152904173502,0.65001503231146,0.38763360766247323,34.891878200000065,34.92517070000031,35.025235999999495,35.058587100000295,e,1.356292399999802,34.058138000000326,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,35.458740000000034,36.25911099999939,4,imgs/1_stim.png,0.10483651819790454,0.7944022822618357,0.14121240234694027,36.375834500000565,36.40914309999971,36.50920339999902,36.54252929999893,a,1.5112697999993543,35.64212529999895,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,37.19290309999997,38.01070780000009,5,imgs/4_stim.png,0.058806538693604034,0.8054490502748858,0.17018980632314384,38.143231000000014,38.17660009999963,38.24329769999895,38.27664639999966,e,1.2352969999992638,37.37624979999964,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,38.64343009999902,39.560522499999934,6,imgs/1_stim.png,0.05089989767841063,0.9108484635250567,0.41909323220161837,39.96067670000048,39.99400939999941,40.04405290000068,40.077359400000205,a,1.6403542999996716,38.82684060000065,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,40.510928499999864,41.31125249999968,7,imgs/4_stim.png,0.04027912155488728,0.7943757529868358,0.03817177961068374,41.327926100000695,41.361253699999,41.394646400000056,41.42795269999988,a,1.9331224000015936,40.694298000000344,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,42.661892199999784,43.42882549999922,8,imgs/2_stim.png,0.0605072393224498,0.7676570986325348,0.20164706117691567,43.612294500000644,43.645561799999996,43.69563559999915,43.72894199999973,q,1.2262017000011838,42.84523219999937,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
