trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,9.525601399999687,None,equal,0.39590210000005754,9.525601399999687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
,,,,,,,,,,9.944285099999433,None,11.344960299999912,None,11.695004199999858,None,12.29527859999962,None,14.896351499999582,None,equal,2.0609982000005402,14.896351499999582,None,,,,,,,,,,,,,,,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,q,2.109984299999269,17.697600599999532,None,17.514849099999992,18.514594100000068,18.497917900000175,18.5313428999998,18.664688699999715,18.698009300000194,0,imgs/1_1.png,imgs/1_2.png,0.14526230176079552,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,a,1.5721151999996437,20.13198779999948,None,19.948577499999374,20.94899970000006,20.932283299999654,20.965644599999905,21.015714600000138,21.049023900000066,1,imgs/4_1.png,imgs/4_2.png,0.05384584372374693,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,e,1.72881789999974,22.03277960000014,None,21.84936159999961,22.84979529999964,22.833127299999433,22.866465600000083,22.916470299999673,22.949853499999335,2,imgs/2_1.png,imgs/2_2.png,0.0523741390151293,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,d,1.6064267000001564,24.4671558,None,24.267421499999728,25.26751179999974,25.26751179999974,25.30089229999976,25.434292399999322,25.467613599999822,3,imgs/3_1.png,imgs/3_2.png,0.13845562410877177,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,d,1.4251583999994182,26.401361700000052,None,26.217983999999888,27.218379099999765,27.20162849999997,27.235041299999466,27.368389999999636,27.40173059999961,4,imgs/3_1.png,imgs/3_2.png,0.14203263552962553,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,q,1.427420500000153,28.552299299999504,None,28.352431199999955,29.352564099999654,29.352564099999654,29.385960599999635,29.45262240000011,29.485979600000064,5,imgs/1_1.png,imgs/1_2.png,0.07350435733876658,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,e,1.5865162000000055,30.302981899999395,None,30.119570299999396,31.120010300000104,31.103356099999473,31.136688599999616,31.27006160000019,31.303394200000184,6,imgs/2_1.png,imgs/2_2.png,0.13086115659345166,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,e,1.752408800000012,32.220503099999405,None,32.03706719999991,33.03748910000013,33.02085780000016,33.05417959999977,33.18753699999979,33.220896199999515,7,imgs/2_1.png,imgs/2_2.png,0.13992667892069507,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,q,1.5694940000003044,34.28802869999981,None,34.10490149999987,35.10504630000014,35.088395599999785,35.121728999999505,35.20512770000005,35.23844559999998,8,imgs/1_1.png,imgs/1_2.png,0.08471236634744536,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,q,1.5311443999999028,36.20549429999937,None,36.02247360000001,37.02258709999933,37.00585189999947,37.0392111000001,37.17265359999965,37.20597170000019,9,imgs/1_1.png,imgs/1_2.png,0.13038452671348028,1,2023_Apr_12_1857,meta-mask,2021.2.3,59.979295147528276,
