trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,10.512638900007005,None,equal,0.5473082000098657,10.512638900007005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1718,meta-mask,2021.2.3,60.0120504189132,
,,,,,,,,,,11.084377300008782,None,12.38486869999906,None,12.534939100005431,None,12.868410800001584,None,13.018521999998484,None,equal,0.5804096999927424,13.018521999998484,None,,,,,,,,,,,,,,,1,2023_Apr_12_1718,meta-mask,2021.2.3,60.0120504189132,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,q,1.3468678999925032,14.319063899994944,None,14.136262600004557,15.136041300007491,15.119407200007117,15.15271570000914,15.21945410000626,15.252791999999317,0,imgs/1_1.png,imgs/1_2.png,0.06398439442076842,1,2023_Apr_12_1718,meta-mask,2021.2.3,60.0120504189132,
