trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,11.77804930000002,None,equal,1.605517800000598,11.77804930000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
,,,,,,,,,,13.406210299999657,None,17.641416200000094,None,18.324997299999268,None,19.00864829999955,None,19.658923699999832,None,equal,3.5486309999996593,19.658923699999832,None,,,,,,,,,,,,,,,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,e,1.736593399999947,23.944098299999496,None,23.744318899999598,24.74446219999936,24.74446219999936,24.77784949999932,24.877887499999815,24.911196799999743,0,imgs/2_1.png,imgs/2_2.png,0.09965717850299291,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,q,1.4619658999999956,26.011704499999723,None,25.828230299999632,26.82869959999971,26.81202409999969,26.845356799999536,26.99543249999988,27.02876969999943,1,imgs/1_1.png,imgs/1_2.png,0.16095151467823263,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,d,1.4621828999997888,28.16262589999951,None,27.96277159999954,28.962952899999436,28.962952899999436,28.996279500000128,29.16301569999996,29.19634700000006,2,imgs/3_1.png,imgs/3_2.png,0.17992470110794034,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,d,1.504121899999518,29.946669999999358,None,29.76326489999974,30.763649099999384,30.74700919999941,30.780387599999813,30.797027599999637,30.83038690000012,3,imgs/3_1.png,imgs/3_2.png,0.032775621846372414,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,a,1.6058015999997224,32.18102049999925,None,31.997908199999983,32.99801759999991,32.98143069999969,33.014650499999334,33.18148799999926,33.21474219999982,4,imgs/4_1.png,imgs/4_2.png,0.17955657679281226,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,e,1.719826099999409,34.115183399999296,None,33.93171119999988,34.93216769999981,34.91545629999928,34.94881329999953,35.06552649999958,35.09892559999935,5,imgs/2_1.png,imgs/2_2.png,0.11998692941390175,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,e,1.667560300000332,36.16597550000006,None,35.98258889999943,36.98306449999927,36.9663873999998,36.99972479999997,37.18308889999935,37.216491600000154,6,imgs/2_1.png,imgs/2_2.png,0.19301531042655426,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,q,1.5315014999996492,38.15020469999945,None,37.96730690000004,38.967197699999815,38.950575500000014,38.98391339999944,39.01723099999981,39.05060349999985,7,imgs/1_1.png,imgs/1_2.png,0.04084489383463129,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,q,1.3987481999993179,40.00097670000014,None,39.81791599999997,40.8179954999996,40.80132449999928,40.83462989999953,40.901339399999415,40.93475869999929,8,imgs/1_1.png,imgs/1_2.png,0.07048350381882709,1,2023_Apr_12_1851,meta-mask,2021.2.3,59.94991783884703,
