1.8800 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.3788 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1440]. Using actual size
10.4514 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000229112EBD30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000229112D11D0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1440]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.4515 	EXP 	window1: mouseVisible = True
10.4515 	EXP 	window1: recordFrameIntervals = False
10.5204 	EXP 	window1: recordFrameIntervals = True
10.5969 	EXP 	window1: recordFrameIntervals = False
11.4741 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.4872 	EXP 	Created circle = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='circle', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.4891 	EXP 	Created mask = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='mask', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...))
11.5274 	EXP 	text: autoDraw = True
13.1995 	DATA 	Mouse: Left button down, pos=(2236,416)
13.3040 	DATA 	Mouse:  Left button up, pos=(2236,416)
15.4487 	DATA 	Keypress: equal
16.8586 	DATA 	Keypress: equal
17.7128 	DATA 	Mouse: Left button down, pos=(2224,407)
17.8521 	DATA 	Mouse:  Left button up, pos=(2224,407)
19.2127 	DATA 	Keypress: equal
19.5736 	DATA 	Keypress: equal
19.7406 	DATA 	Keypress: equal
20.0667 	DATA 	Keypress: equal
20.1922 	DATA 	Keypress: equal
20.4286 	DATA 	Keypress: equal
21.1228 	DATA 	Keypress: lshift
21.1648 	DATA 	Keypress: apostrophe
21.6789 	DATA 	Keypress: equal
21.9628 	DATA 	Keypress: equal
22.1988 	DATA 	Keypress: equal
22.2830 	DATA 	Keypress: 1
22.3307 	DATA 	Keypress: 2
22.4569 	DATA 	Keypress: 3
22.6366 	DATA 	Keypress: equal
22.8097 	DATA 	Keypress: equal
23.3377 	DATA 	Keypress: return
23.4907 	DATA 	Keypress: return
23.6848 	DATA 	Keypress: return
23.7902 	DATA 	Keypress: capslock
23.8167 	DATA 	Keypress: a
23.9838 	DATA 	Keypress: s
24.6228 	DATA 	Keypress: 1
24.6441 	DATA 	Keypress: 2
24.7478 	DATA 	Keypress: 3
25.2759 	DATA 	Keypress: apostrophe
25.3308 	DATA 	Keypress: equal
25.4351 	DATA 	Keypress: apostrophe
25.5597 	DATA 	Keypress: equal
25.6297 	DATA 	Keypress: apostrophe
26.0258 	DATA 	Keypress: escape
26.1869 	EXP 	window1: mouseVisible = True
