trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,9.482776299999387,None,equal,1.2915818999999829,9.482776299999387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
,,,,,,,,,,10.792123899999751,None,11.59245539999938,None,11.925974400000086,None,12.326135799999975,None,12.5928772999996,None,equal,0.5197495000002164,12.5928772999996,None,,,,,,,,,,,,,,,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,d,1.4789219999993293,13.793396699999903,None,13.610790599999746,14.610439199999746,14.593758899999557,14.627128600000106,14.677125600000181,14.710501900000054,0,imgs/3_1.png,imgs/3_2.png,0.05762991090911384,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,d,1.3839692999999897,15.594186999999692,None,15.410796799999844,16.411218700000063,16.394540100000086,16.428045599999678,16.561285199999475,16.59461259999989,1,imgs/3_1.png,imgs/3_2.png,0.13103358771481038,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,d,1.2692468999994162,17.69509449999987,None,17.511987500000032,18.51209740000013,18.495404399999643,18.528778400000192,18.69555450000007,18.728923900000154,2,imgs/2_1.png,imgs/2_2.png,0.16752979939640983,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,e,1.3943725999997696,19.279101099999934,None,19.11275039999964,20.112833399999545,20.079479299999548,20.112833399999545,20.16283089999979,20.196190099999512,3,imgs/2_1.png,imgs/2_2.png,0.0492629497125856,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,q,1.3937773999996352,20.9965344000002,None,20.813082799999393,21.813536900000145,21.796888599999875,21.83017849999942,21.963579999999638,21.9969401999997,4,imgs/1_1.png,imgs/1_2.png,0.131227138168489,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,d,1.6404382000000624,22.71391719999974,None,22.530490799999825,23.53093699999954,23.514266999999563,23.54760339999939,23.73100869999962,23.7643479999997,5,imgs/2_1.png,imgs/2_2.png,0.19113556022935732,1,2023_Apr_12_1859,meta-mask,2021.2.3,59.956962891949864,
