trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,10.334190100009437,None,equal,2.527959099999862,10.334190100009437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
,,,,,,,,,,12.892133600005764,None,14.859520800004248,None,15.076235900007305,None,15.559768899998744,None,15.759850600006757,None,equal,0.02019480000308249,16.74367500000517,None,,,,,,,,,,,,,,,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,q,1.5612547999917297,17.510817200003657,None,17.327790300012566,18.327636900008656,18.31101679999847,18.344343200005824,18.411026000001584,18.444335100008175,0,imgs/1_1.png,imgs/1_2.png,0.06398439442076842,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,a,1.5079555999982404,19.39475500000117,None,19.21146580000641,20.211844900011783,20.19509960000869,20.22846009999921,20.26178610000352,20.2951361000014,1,imgs/4_1.png,imgs/4_2.png,0.03125158585767093,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,d,1.2794196000031661,21.612370100003318,None,21.42942290000792,22.429390000004787,22.412780700004078,22.446056900007534,22.61282610001217,22.646185200006585,2,imgs/3_1.png,imgs/3_2.png,0.16377714417536354,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,e,1.664607700004126,23.664423100010026,None,23.480340000009164,24.48027749999892,24.46357760000683,24.496907300010207,24.64698620000854,24.680430500011425,3,imgs/2_1.png,imgs/2_2.png,0.14302464562064549,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,e,1.6132866999978432,25.647479500010377,None,25.46429960000387,26.464482499999576,26.447865499998443,26.48117140000977,26.63121360000514,26.664555600000313,4,imgs/2_1.png,imgs/2_2.png,0.14987811436647697,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,a,1.49026999999478,27.58165380000719,None,27.398247900011484,28.398633500008145,28.381956000011996,28.415317899998627,28.582021000009263,28.61537130000943,5,imgs/4_1.png,imgs/4_2.png,0.16272393527373455,1,2023_Apr_12_1655,meta-mask,2021.2.3,59.953547995004925,
