trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.364957699996012,None,equal,1.9198810000016238,10.236302199999045,None,,,,,,,,,,,1,001,2023_Apr_12_1518,meta-mask,2021.2.3,144.1235773165007,
0,0,0,0,,,,,,,1,3.960739800000738,12.368286699995224,None,12.173849899998459,13.187714300001971,13.180832599995483,13.215516199998092,13.347484400001122,13.382201499996881,1,001,2023_Apr_12_1518,meta-mask,2021.2.3,144.1235773165007,
1,0,1,0,,,,,,,2,3.4283596000022953,16.541929499995604,None,16.347500500000024,17.347569500001555,17.34058139999979,17.375283299996227,17.486399299996265,17.521105499996338,1,001,2023_Apr_12_1518,meta-mask,2021.2.3,144.1235773165007,
2,0,2,0,,,,,,,2,8.517176800000016,20.18084039999667,None,19.986409899996943,20.98642299999483,20.979469099998823,21.014153799995256,21.257252499999595,21.291990999998234,1,001,2023_Apr_12_1518,meta-mask,2021.2.3,144.1235773165007,
3,0,3,0,,,,,,,1,2.4598186000002897,28.91008029999648,None,28.71565169999667,29.715648899997177,29.70871040000202,29.74343009999575,29.965619499998866,30.000341399994795,1,001,2023_Apr_12_1518,meta-mask,2021.2.3,144.1235773165007,
4,0,4,0,,,,,,,2,1.5564777000035974,31.583710599996266,None,31.389277199996286,32.389270300001954,32.38231889999588,32.41704999999638,32.64622039999813,32.68093109999609,1,001,2023_Apr_12_1518,meta-mask,2021.2.3,144.1235773165007,
5,0,5,0,,,,,,,1,1.2623039999962202,33.34762359999877,None,33.15318049999769,34.15321789999871,34.146278399995936,34.18096289999812,34.4240443000017,34.458834999997634,1,001,2023_Apr_12_1518,meta-mask,2021.2.3,144.1235773165007,
